Config, Train_Score, Val_Score
('lbfgs'; 1), 0.9365916666666667, 0.91005
('lbfgs'; 0.1), 0.9294458333333333, 0.9125166666666666
('lbfgs'; 0.01), 0.9151250000000001, 0.9070166666666667
('lbfgs'; 0.001), 0.8894500000000001, 0.8860833333333333
('sag'; 1), 0.9372499999999999, 0.91035
('sag'; 0.1), 0.9294166666666668, 0.91265
('sag'; 0.01), 0.9151250000000001, 0.9070166666666667
('sag'; 0.001), 0.8894583333333334, 0.8860833333333333
('saga'; 1), 0.9370375, 0.9103166666666667
('saga'; 0.1), 0.9294083333333333, 0.91265
('saga'; 0.01), 0.9151291666666668, 0.9070166666666667
('saga'; 0.001), 0.8894624999999999, 0.8860833333333333
(lbfgs; 2), 0.9371083333333333, 0.9092500000000001
(lbfgs; 3), 0.9373250000000001, 0.9089833333333333
(lbfgs; 5), 0.9375416666666666, 0.9074166666666666
(lbfgs; 10), 0.9373875, 0.9080333333333334
(sag; 2), 0.9383250000000001, 0.9096333333333334
(sag; 3), 0.9387583333333334, 0.9086833333333333
(sag; 5), 0.9390583333333333, 0.9080333333333332
(sag; 10), 0.9392375, 0.9075666666666666
(saga; 2), 0.9379, 0.9097999999999999
(saga; 3), 0.9381791666666667, 0.9095333333333333
(saga; 5), 0.9383125, 0.9090666666666666
(saga; 10), 0.938525, 0.9089166666666667
