Config,MAPE 1,MAE 1,MAPE 2,MAE 2
(4; 10), 1.0887065634316335, 10.57280499909489, 0.9275279301053633, 9.079501614414564
(4; 20), 1.0899900011040777, 10.616776802100736, 0.934644648834895, 9.163567801979505
(4; 30), 1.0927196025668817, 10.671305107209896, 0.9368017149475444, 9.21005319364716
(4; 40), 1.0935000302180349, 10.711200689859831, 0.9327671030012948, 9.211637835501913
(5; 10), 0.8553153783292418, 8.418909285063974, 0.9275463860881701, 9.080700477101878
(5; 20), 0.8637282542898173, 8.529782358534268, 0.9347480655308736, 9.16542838208238
(5; 30), 0.8634230047381027, 8.55404840163318, 0.9370241301841692, 9.212886537630217
(5; 40), 0.8583484511982946, 8.531091735188866, 0.9327893693677021, 9.212876770324344
(6; 10), 0.8626034255150714, 8.456135708288901, 0.9275630543480464, 9.080961806329674
(6; 20), 0.8672696935292672, 8.516512927706955, 0.9347492457685066, 9.165454132325827
(6; 30), 0.8732159155470693, 8.620179350542651, 0.9370404939777467, 9.213105544555825
(6; 40), 0.8685237770246808, 8.586270697574736, 0.9327985170962902, 9.21298570627116
(7; 10), 0.868119746029224, 8.50642693950703, 0.9275807989785081, 9.080985281185125
(7; 20), 0.8731257163982894, 8.574490030488947, 0.9347406841762261, 9.165247750114894
(7; 30), 0.871657531327219, 8.59163286882173, 0.9370227793107725, 9.212852184094016
(7; 40), 0.8726897554581154, 8.621314338368405, 0.9328440670398357, 9.213331137801877
